Period (s),PSD (10 LOG m**2/s**4/Hz),Frequency (Hz),PSD (m**2/s**4/Hz)
41425.23395,-60.23181263,2.41E-05,9.48E-07
37387.42456,-61.92760855,2.67E-05,6.42E-07
32727.68373,-63.60074461,3.06E-05,4.36E-07
28249.74618,-65.57990619,3.54E-05,2.77E-07
24384.26866,-67.6624484,4.10E-05,1.71E-07
21047.96142,-69.61576483,4.75E-05,1.09E-07
18168.30615,-71.46570061,5.50E-05,7.14E-08
15682.42459,-73.45778477,6.38E-05,4.51E-08
13536.72207,-75.41110119,7.39E-05,2.88E-08
11830.71887,-77.19861306,8.45E-05,1.91E-08
9945.53624,-79.5096101,0.000100548,1.12E-08
8524.768739,-81.63316938,0.000117305,6.87E-09
7358.339792,-83.66402128,0.0001359,4.30E-09
6351.556171,-85.6173377,0.000157442,2.74E-09
5540.384072,-87.55328066,0.000180493,1.76E-09
4832.867533,-89.3556903,0.000206916,1.16E-09
4171.570274,-91.45115509,0.000239718,7.16E-10
3600.802956,-93.41739409,0.000277716,4.55E-10
3108.111491,-95.44824599,0.000321739,2.85E-10
2684.014353,-97.47044408,0.000372576,1.79E-10
2315.768541,-99.40656915,0.000431822,1.15E-10
2078.350796,-100.7758235,0.000481151,8.36E-11
1876.739922,-102.3428617,0.000532839,5.83E-11
1689.510392,-103.7528564,0.000591887,4.21E-11
1458.342847,-105.7449405,0.00068571,2.66E-11
1258.804841,-107.7370247,0.000794404,1.68E-11
1124.93029,-109.5892384,0.000888944,1.10E-11
957.8149617,-111.514145,0.001044043,7.06E-12
839.8800819,-113.5367053,0.001190646,4.43E-12
713.6424731,-115.4595456,0.001401262,2.84E-12
616.001126,-117.3999395,0.001623374,1.82E-12
531.7129068,-119.4695591,0.001880714,1.13E-12
435.4586629,-122.354018,0.002296429,5.82E-13
396.1581506,-123.6087984,0.002524244,4.36E-13
331.348958,-125.7408764,0.003017966,2.67E-13
265.7695644,-126.9247757,0.003762658,2.03E-13
210.9469138,-127.9311916,0.004740529,1.61E-13
167.4330186,-128.9376075,0.005972538,1.28E-13
132.8946229,-129.9851407,0.007524759,1.00E-13
105.4811094,-131.0080035,0.009480371,7.93E-14
83.72296013,-131.9650786,0.011944155,6.36E-14
66.45253132,-132.9961649,0.015048336,5.02E-14
52.74449995,-134.060145,0.018959323,3.93E-14
41.86445447,-135.0583374,0.023886612,3.12E-14
33.22857664,-136.1058706,0.030094578,2.45E-14
26.37426232,-137.0958396,0.037915752,1.95E-14
22.44410307,-137.7829138,0.044555133,1.67E-14
19.57334996,-138.3709824,0.051089875,1.46E-14
18.46101343,-135.2723645,0.054168207,2.97E-14
18.08047072,-133.4634902,0.055308295,4.50E-14
17.45863713,-131.6587074,0.05727824,6.83E-14
17.02208508,-129.2376696,0.05874721,1.19E-13
16.17617513,-126.0776117,0.061819311,2.47E-13
15.62430444,-123.0326684,0.064002849,4.97E-13
14.67469042,-119.9869013,0.068144538,1.00E-12
12.34310221,-118.1059301,0.08101691,1.55E-12
10.33248626,-116.2934431,0.096782127,2.35E-12
7.516041844,-113.2325132,0.133048754,4.75E-12
7.31941391,-110.4301609,0.136622961,9.06E-12
6.962316483,-108.3322256,0.143630357,1.47E-11
6.57319413,-105.6343319,0.152133039,2.73E-11
6.293475499,-103.1689419,0.158894716,4.82E-11
5.596985881,-100.072856,0.178667594,9.83E-11
4.833141883,-97.60844519,0.206904747,1.73E-10
4.036269775,-97.38267905,0.247753509,1.83E-10
3.311520584,-99.81908818,0.301976079,1.04E-10
2.895116636,-101.9856738,0.345409227,6.33E-11
2.405009052,-104.1762577,0.415798851,3.82E-11
2.063143103,-106.3893725,0.484697353,2.30E-11
1.733758243,-108.6789277,0.576781685,1.36E-11
1.503802091,-110.5470532,0.664981121,8.82E-12
1.321193933,-112.3659079,0.756891154,5.80E-12
1.166236436,-114.305727,0.857459062,3.71E-12
1.015676126,-116.0097833,0.984565822,2.51E-12
0.903990743,-117.6498787,1.106206018,1.72E-12
0.773367769,-119.7081985,1.29304587,1.07E-12
0.629552528,-117.8701721,1.588429806,1.63E-12
0.521257445,-115.912828,1.918437827,2.56E-12
0.431593168,-113.9052295,2.316996825,4.07E-12
0.357348917,-112.0081908,2.798385422,6.30E-12
0.308560387,-110.2412403,3.240856708,9.46E-12
0.283771902,-107.7397143,3.523957069,1.68E-11
0.266505722,-105.4791232,3.752264651,2.83E-11
0.250288731,-103.2788373,3.995385633,4.70E-11
0.226195501,-100.4910998,4.42095442,8.93E-11
0.20514143,-97.52239842,4.874685723,1.77E-10
0.17164052,-95.88288477,5.8261301,2.58E-10
0.136268742,-94.15088869,7.338440095,3.85E-10
0.098085567,-91.88670759,10.19517989,6.48E-10
