Period (s),PSD (10 LOG m**2/s**4/Hz),Frequency (Hz),PSD (m**2/s**4/Hz)
95344.21541,-103.9852751,1.05E-05,3.99E-11
62462.7392,-112.4624657,1.60E-05,5.67E-12
56226.88312,-114.7253506,1.78E-05,3.37E-12
50614.2409,-116.8435026,1.98E-05,2.07E-12
43869.14334,-119.74011,2.28E-05,1.06E-12
40159.30235,-121.749483,2.49E-05,6.68E-13
33939.97635,-125.1529994,2.95E-05,3.05E-13
30874.62442,-127.2031646,3.24E-05,1.90E-13
28086.47311,-129.1176426,3.56E-05,1.23E-13
25549.74902,-131.1858993,3.91E-05,7.61E-14
23242.27194,-133.1908354,4.30E-05,4.80E-14
20922.16293,-135.327079,4.78E-05,2.93E-14
18833.52939,-137.5356891,5.31E-05,1.76E-14
17132.69269,-139.4908732,5.84E-05,1.12E-14
15530.98926,-141.467212,6.44E-05,7.13E-15
14029.44109,-143.7632171,7.13E-05,4.20E-15
10673.15144,-149.3301146,9.37E-05,1.17E-15
8558.817499,-153.0011992,1.17E-04,5.01E-16
7083.881624,-155.1521583,1.41E-04,3.05E-16
6244.695851,-156.5446712,1.60E-04,2.22E-16
5278.303613,-158.491813,1.89E-04,1.42E-16
4359.60765,-160.4596233,2.29E-04,9.00E-17
3932.932963,-161.8540822,2.54E-04,6.53E-17
3540.664486,-162.9749342,2.82E-04,5.04E-17
2992.72908,-164.9333833,3.34E-04,3.21E-17
2529.594617,-166.8692179,3.95E-04,2.06E-17
2115.793227,-168.8680139,4.73E-04,1.30E-17
1769.676055,-170.9107826,5.65E-04,8.11E-18
1495.819158,-172.8013882,6.69E-04,5.25E-18
1264.333718,-174.7598373,7.91E-04,3.34E-18
1068.666287,-176.7748227,9.36E-04,2.10E-18
906.4294115,-178.993937,1.10E-03,1.26E-18
755.519777,-180.7622205,1.32E-03,8.39E-19
631.9240669,-182.8426801,1.58E-03,5.20E-19
517.5800525,-184.6442856,1.93E-03,3.43E-19
410.8037355,-185.9302991,2.43E-03,2.55E-19
326.0584601,-187.1094076,3.07E-03,1.95E-19
258.8274037,-186.93329,3.86E-03,2.03E-19
185.0018108,-185.7904308,5.41E-03,2.64E-19
146.8639331,-184.9986502,6.81E-03,3.16E-19
116.5809854,-184.8784522,8.58E-03,3.25E-19
92.53792629,-185.2763321,1.08E-02,2.97E-19
73.44599954,-186.7761555,1.36E-02,2.10E-19
58.29756462,-187.4207392,1.72E-02,1.81E-19
46.27641655,-187.3827757,2.16E-02,1.83E-19
36.73787167,-186.2099749,2.72E-02,2.39E-19
30.41747119,-184.5349696,3.29E-02,3.52E-19
26.51619015,-181.8080297,3.77E-02,6.59E-19
23.02543957,-179.0589993,4.34E-02,1.24E-18
20.6874431,-175.822099,4.83E-02,2.62E-18
19.90290483,-173.8792889,5.02E-02,4.09E-18
18.86977731,-171.3587531,5.30E-02,7.31E-18
17.67374789,-168.6118797,5.66E-02,1.38E-17
16.63576162,-166.0696895,6.01E-02,2.47E-17
15.59419827,-163.3518089,6.41E-02,4.62E-17
15.32299205,-161.927785,6.53E-02,6.42E-17
13.021686,-164.299054,7.68E-02,3.72E-17
11.71398524,-165.893717,8.54E-02,2.57E-17
11.07175277,-165.401841,9.03E-02,2.88E-17
9.808726128,-163.509909,1.02E-01,4.46E-17
9.211884865,-161.2809781,1.09E-01,7.45E-17
8.382915476,-159.3826492,1.19E-01,1.15E-16
7.790501735,-157.325732,1.28E-01,1.85E-16
7.239998196,-155.2009713,1.38E-01,3.02E-16
6.65826091,-152.8728233,1.50E-01,5.16E-16
6.18776113,-150.7556007,1.62E-01,8.40E-16
5.81110524,-148.7965364,1.72E-01,1.32E-15
5.400858892,-145.8878058,1.85E-01,2.58E-15
5.125899282,-143.3406208,1.95E-01,4.63E-15
4.426172908,-141.305951,2.26E-01,7.40E-15
3.663607444,-142.8756878,2.73E-01,5.16E-15
3.162337465,-144.8548494,3.16E-01,3.27E-15
2.720074697,-147.0128211,3.68E-01,1.99E-15
2.381044316,-148.7634926,4.20E-01,1.33E-15
2.005355495,-151.7102438,4.99E-01,6.74E-16
1.869445165,-153.9078225,5.35E-01,4.07E-16
1.736773962,-155.3787694,5.76E-01,2.90E-16
1.59659739,-157.3473789,6.26E-01,1.84E-16
1.452386348,-159.4834791,6.89E-01,1.13E-16
1.321214107,-161.5110297,7.57E-01,7.06E-17
1.201900586,-163.4300307,8.32E-01,4.54E-17
1.035044828,-165.2985207,9.66E-01,2.95E-17
0.882568756,-167.5514762,1.13E+00,1.76E-17
0.771129752,-168.9025717,1.30E+00,1.29E-17
0.696011842,-168.4184346,1.44E+00,1.44E-17
0.552526291,-167.6987463,1.81E+00,1.70E-17
0.438623839,-166.9042246,2.28E+00,2.04E-17
0.348189404,-166.5126524,2.87E+00,2.23E-17
0.276394053,-166.3779148,3.62E+00,2.30E-17
0.219400837,-166.3329557,4.56E+00,2.33E-17
0.174156291,-166.5075744,5.74E+00,2.23E-17
0.138241064,-166.7575633,7.23E+00,2.11E-17
0.1097266,-167.5892479,9.11E+00,1.74E-17
0.088712943,-167.8549345,1.13E+01,1.64E-17
